company_name,company_name_alt,is_own,listing_type,revenue_2025_mkrw,revenue_2024_mkrw,revenue_yoy_pct,op_income_2025_mkrw,op_income_2024_mkrw,op_income_yoy_pct,op_margin_2025_pct,op_status_note,fiscal_note,notes
영원무역홀딩스,,false,listed,4895010,4306038,13.7,735475,517045,42.2,15.0,,,영원무역·영원아웃도어 포함
미스토홀딩스,휠라홀딩스,false,listed,4468646,4268743,4.7,474781,360804,31.6,10.6,,,휠라·아쿠쉬네트 부문 포함
삼성물산(패션부문),,false,listed,2019620,2004233,0.8,123083,170467,-27.8,6.1,,,
한세실업,,false,listed,1941777,1797796,8.0,83416,142198,-41.3,4.3,,,
F&F홀딩스,,false,listed,1933801,1898302,1.9,434195,416367,4.3,22.5,,,F&F 실적 포함
LF,,false,listed,1882430,1956268,-3.8,168111,126140,33.3,8.9,,,
에이피알,,false,listed,1527345,722753,111.3,365521,122706,197.9,23.9,,,
한섬,,false,listed,1491764,1485264,0.4,52179,63472,-17.8,3.5,,,
신성통상,,false,listed,1476972,1507869,-2.0,74488,121792,-38.8,5.0,,6월 말 결산법인,
코오롱인더스트리(FnC부문),,false,listed,1188745,1233258,-3.6,3600,21593,-83.3,0.3,,,
신세계인터내셔날,,false,listed,1109969,1073588,3.4,-11496,7241,-258.8,-1.0,적자전환,,
신원,,false,listed,1092254,939537,16.3,18779,25318,-25.8,1.7,,,
TP,구 태평양물산,false,listed,1028989,1064151,-3.3,62006,48932,26.7,6.0,,,
폰드그룹,,false,listed,485569,368653,31.7,57377,41323,38.9,11.8,,,
더네이쳐홀딩스,,false,listed,477522,516897,-7.6,6968,30094,-76.8,1.5,,,
크리스에프앤씨,,false,listed,311945,331280,-5.8,-4727,12139,-138.9,-1.5,적자전환,,
젝시믹스,구 브랜드엑스코퍼레이션,false,listed,274097,271594,0.9,17349,24899,-30.3,6.3,,,
웰크론,,false,listed,268960,329117,-18.3,-11118,2172,-611.9,-4.1,적자전환,,
감성코퍼레이션,,false,listed,250195,220397,13.5,44631,36053,23.8,17.8,,,
한세엠케이,,false,listed,248888,245074,1.6,-12139,-17629,31.1,-4.9,적자지속,,
대현,,false,listed,240544,259285,-7.2,7078,14373,-50.8,2.9,,,
비비안,,false,listed,222445,221743,0.3,-4642,614,-856.0,-2.1,적자전환,,
그리티,,false,listed,201718,194740,3.6,7853,12310,-36.2,3.9,,,
아가방컴퍼니,,false,listed,189078,182743,3.5,13987,15206,-8.0,7.4,,,
신영와코루,,false,listed,185155,196678,-5.9,1289,2756,-53.2,0.7,,,
티비에이치글로벌,,false,listed,182419,178465,2.2,3150,3360,-6.3,1.7,,,
형지엘리트,,false,listed,166650,132748,25.5,6641,7009,-5.3,4.0,,6월 말 결산법인,
에스제이그룹,,false,listed,163414,181795,-10.1,-15863,-3238,-389.9,-9.7,적자지속,,
BYC,,false,listed,163167,165208,-1.2,26574,23833,11.5,16.3,,,
SG세계물산,,false,listed,132348,138802,-4.6,-1516,-2757,45.0,-1.1,적자지속,,
LS네트웍스(패션부문),,false,listed,113195,150071,-24.6,-16364,-13634,-20.0,-14.5,적자지속,,
패션플랫폼,,false,listed,106300,104601,1.6,8363,1656,405.0,7.9,,,
인디에프,,false,listed,104591,114738,-8.8,1191,-827,244.0,1.1,,,
